name,findName,country,longitude,latitude
Uvinza,UVINZA,TZ,30.391109,-5.10361
Ushirombo,USHIROMBO,TZ,31.96389,-3.49194
Usevia,USEVIA,TZ,31.23333,-7.1
Usa,USA,TZ,36.849998,-3.36667
Urambo,URAMBO,TZ,32.049999,-5.06667
Tunduma,TUNDUMA,TZ,32.76667,-9.3
Tumbi,TUMBI,TZ,32.73333,-5.06667
Tukuyu,TUKUYU,TZ,33.650002,-9.25
Tinde,TINDE,TZ,33.200001,-3.88333
Tarime,TARIME,TZ,34.366669,-1.35
Tanga,TANGA,TZ,39.099998,-5.06667
Tabora,TABORA,TZ,32.799999,-5.01667
Sumbawanga,SUMBAWANGA,TZ,31.616671,-7.96667
Songwa,SONGWA,TZ,33.51667,-3.51667
Somanda,SOMANDA,TZ,33.950001,-3.36667
Sokoni,SOKONI,TZ,39.549999,-6.43333
Sirari,SIRARI,TZ,34.433331,-1.23333
Singida,SINGIDA,TZ,34.75,-4.81667
Sikonge,SIKONGE,TZ,32.76667,-5.63333
Shinyanga,SHINYANGA,TZ,33.433331,-3.66667
Shelui,SHELUI,TZ,34.200001,-4.36667
Sepuka,SEPUKA,TZ,34.533329,-4.75
Same,SAME,TZ,37.73333,-4.06667
Rulenge,RULENGE,TZ,30.6325,-2.7175
Rujewa,RUJEWA,TZ,34.383331,-8.7
Old Shinyanga,OLD SHINYANGA,TZ,33.400002,-3.55
Nzega,NZEGA,TZ,33.183331,-4.21667
Nyamuswa,NYAMUSWA,TZ,34.01667,-1.9
Nyalikungu,NYALIKUNGU,TZ,33.783329,-3.18333
Nyakabindi,NYAKABINDI,TZ,33.98333,-2.63333
Nsunga,NSUNGA,TZ,31.39472,-1.14389
Nshamba,NSHAMBA,TZ,31.551109,-1.79833
Njombe,NJOMBE,TZ,34.76667,-9.33333
Nguruka,NGURUKA,TZ,31.041941,-5.10917
Ngudu,NGUDU,TZ,33.333328,-2.96667
Ngerengere,NGERENGERE,TZ,38.116669,-6.75
Ngara,NGARA,TZ,30.65583,-2.51222
Nangwa,NANGWA,TZ,35.450001,-4.46667
Namanyere,NAMANYERE,TZ,31.049999,-7.51667
Mwanza,MWANZA,TZ,32.900002,-2.51667
Mwadui,MWADUI,TZ,33.599998,-3.55
Mvomero,MVOMERO,TZ,38.666672,-6.25
Musoma,MUSOMA,TZ,33.799999,-1.5
Muriti,MURITI,TZ,32.916672,-1.98333
Mungaa,MUNGAA,TZ,34.883331,-4.96667
Muheza,MUHEZA,TZ,38.783329,-5.16667
Mugumu,MUGUMU,TZ,34.700001,-1.85
Mtwango,MTWANGO,TZ,34.799999,-9.01667
Mto wa Mbu,MTO WA MBU,TZ,35.849998,-3.35
Mtinko,MTINKO,TZ,34.849998,-4.55
Msowero,MSOWERO,TZ,37.200001,-6.53333
Mpwapwa,MPWAPWA,TZ,36.48333,-6.35
Mpanda,MPANDA,TZ,31.040911,-6.36546
Moshi,MOSHI,TZ,37.333328,-3.35
Morogoro,MOROGORO,TZ,37.666672,-6.81667
Mlimba,MLIMBA,TZ,35.816669,-8.8
Mlangali,MLANGALI,TZ,34.51667,-9.78333
Mlandizi,MLANDIZI,TZ,38.73333,-6.7
Mlalo,MLALO,TZ,38.933331,-4.93333
Mkuranga,MKURANGA,TZ,39.207821,-7.11799
Mwandiga,MWANDIGA,TZ,29.65806,-4.83
Missungwi,MISSUNGWI,TZ,33.083328,-2.85
Mikumi,MIKUMI,TZ,36.983089,-7.40409
Mhango,MHANGO,TZ,32.849998,-3.28333
Mgandu,MGANDU,TZ,34.133331,-5.95
Mbuguni,MBUGUNI,TZ,36.950001,-3.56667
Mbeya,MBEYA,TZ,33.450001,-8.9
Mazinde,MAZINDE,TZ,38.216671,-4.8
Matui,MATUI,TZ,38.25,-4.8
Matai,MATAI,TZ,31.51667,-8.3
Maswa,MASWA,TZ,33.98333,-2.68333
Masumbwe,MASUMBWE,TZ,32.183331,-3.63333
Maramba,MARAMBA,TZ,38.616669,-5.05
Malinyi,MALINYI,TZ,36.133331,-8.93333
Malampaka,MALAMPAKA,TZ,33.533329,-3.13333
Makuyuni,MAKUYUNI,TZ,38.099998,-4.73333
Makumbako,MAKUMBAKO,TZ,34.833328,-8.85
Mahanje,MAHANJE,TZ,35.333328,-9.93333
Magu Kahangara,MAGU KAHANGARA,TZ,33.349998,-2.58333
Magugu,MAGUGU,TZ,35.76667,-4.01667
Magomeni,MAGOMENI,TZ,39.25,-6.8
Magole,MAGOLE,TZ,37.366669,-6.36667
Mafinga,MAFINGA,TZ,35.066669,-7.25
Mabama,MABAMA,TZ,32.533329,-5.13333
Lushoto,LUSHOTO,TZ,38.283329,-4.78333
Lugoba,LUGOBA,TZ,38.333328,-6.45
Liwale,LIWALE,TZ,37.933331,-9.76667
Lembeni,LEMBENI,TZ,37.616669,-3.78333
Lalago,LALAGO,TZ,33.950001,-3.45
Laela,LAELA,TZ,32.049999,-8.56667
Kyela,KYELA,TZ,33.849998,-9.58333
Kondoa,KONDOA,TZ,35.783329,-4.9
Kiwira,KIWIRA,TZ,33.533329,-9.16667
Kishapu,KISHAPU,TZ,33.866669,-3.61667
Kisesa,KISESA,TZ,34.150002,-3.08333
Kirando,KIRANDO,TZ,30.6,-7.41667
Kiomboi,KIOMBOI,TZ,34.366669,-4.26667
Kingori,KINGORI,TZ,36.98333,-3.28333
Kilosa,KILOSA,TZ,36.98333,-6.83333
Kigoma,KIGOMA,TZ,29.626671,-4.87694
Kidodi,KIDODI,TZ,37.004379,-7.60361
Kidatu,KIDATU,TZ,36.957218,-7.69916
Kibondo,KIBONDO,TZ,30.72028,-3.58639
Kibiti,KIBITI,TZ,38.937489,-7.72178
Kibara,KIBARA,TZ,33.450001,-2.15
Kibakwe,KIBAKWE,TZ,36.366669,-6.71667
Kibaha,KIBAHA,TZ,38.916672,-6.76667
Katumba,KATUMBA,TZ,33.616669,-9.23333
Katoro,KATORO,TZ,31.89583,-3.02028
Katerero,KATERERO,TZ,31.73333,-1.4
Kasulu,KASULU,TZ,30.102501,-4.57667
Kasamwa,KASAMWA,TZ,32.433331,-2.85
Karatu,KARATU,TZ,35.666672,-3.33333
Kamachumu,KAMACHUMU,TZ,31.620001,-1.61861
Kakonko,KAKONKO,TZ,30.96417,-3.28278
Kahama,KAHAMA,TZ,32.599998,-3.83333
